FXRUSD,FXREUR
0.8912,0.6483
0.8982,0.6574
0.8949,0.6588
0.8920,0.6547
0.8931,0.6551
0.8882,0.6541
0.8905,0.6542
0.9036,0.6606
0.9035,0.6612
0.8913,0.6537
0.8814,0.6470
0.8821,0.6479
0.8780,0.6491
0.8819,0.6512
0.8866,0.6537
0.8798,0.6495
0.8716,0.6369
0.8787,0.6424
0.8806,0.6450
0.8726,0.6393
0.8763,0.6467
0.8755,0.6493
0.8880,0.6574
0.8892,0.6580
0.8964,0.6629
0.8940,0.6578
0.8933,0.6557
0.9009,0.6591
0.9050,0.6640
0.8934,0.6563
0.8996,0.6575
0.9049,0.6600
0.9057,0.6605
0.9017,0.6551
0.8954,0.6509
0.8992,0.6555
0.8968,0.6528
0.9034,0.6577
0.9011,0.6558
0.8940,0.6532
0.8947,0.6530
0.8912,0.6468
0.8930,0.6503
0.8960,0.6525
0.9012,0.6567
0.9088,0.6558
0.9037,0.6508
0.9029,0.6512
0.8964,0.6470
0.9072,0.6507
0.9010,0.6500
0.9054,0.6513
0.9083,0.6520
0.9119,0.6551
0.9020,0.6521
0.9061,0.6575
0.9081,0.6580
0.9136,0.6606
0.9195,0.6658
0.9239,0.6701
0.9270,0.6741
0.9221,0.6707
0.9263,0.6725
0.9239,0.6692
0.9219,0.6701
0.9234,0.6735
0.9279,0.6771
0.9292,0.6760
0.9367,0.6792
0.9414,0.6798
0.9375,0.6749
0.9392,0.6780
0.9392,0.6798
0.9378,0.6781
0.9365,0.6766
0.9356,0.6781
0.9284,0.6719
0.9294,0.6724
0.9290,0.6721
0.9242,0.6665
0.9287,0.6729
0.9295,0.6702
0.9277,0.6693
0.9269,0.6681
0.9286,0.6690
0.9344,0.6713
0.9373,0.6735
0.9362,0.6763
0.9363,0.6803
